support,itemsets
0.00039824771007566706,frozenset({'3 Malam Bersama Penghuni Syurga: Fuad Abdulrahman/'})
0.0011947431302270011,frozenset({'A : Aku Benci dan Cinta/ Wulanfadi'})
0.00039824771007566706,"frozenset({'A History Of Europe (Sejarah Eropa) : Dari Zaman Kegelapan Hingga Era Baru / West Willis Mason : Penerjemah, Mokhamad Irfan'})"
0.00039824771007566706,"frozenset({'A Kind of Heart 1/ Mizuho Kusanagi; Penerjemah, Trisnawaty Barkah'})"
0.0007964954201513341,frozenset({'A My Sterious Sacandal Vol 4/Kim Yun -A'})
0.0007964954201513341,"frozenset({'A Sweet Candy for Teens: Kisah Kisah Motivasi untuk Remaja Menggapai Cita dan Cinta/ Leyla Hana, Sapto Rini..[et.all]..'})"
0.00039824771007566706,"frozenset({'A day With DIdi (Sehari Bersama Didi)/ Tri Wihartini, Happy Arie Anggraeni'})"
0.00039824771007566706,"frozenset({'A-Z Faktaneka Keajaiban Al-Quran/ Ahmad Sahidin, Salman Iskandar, Krisna Somantri'})"
0.00039824771007566706,"frozenset({'ADA APA DENGAN TUBUHKU KU: BUKU UNTUK CEW/ LYNDA MADARAS ; PENERJEMAH, RIZA RISMADANI'})"
0.00039824771007566706,"frozenset({'ADAPTASI PADA MAKHLUK HIDUP/ MENIK BUDIARTI, ADRIAN N'})"
0.0011947431302270011,"frozenset({'ADAT ISTIADAT ALKITAB DAN KEUNIKAN DALAM GAMBAR/ GEORGE KNIGHT W; PENERJEMAH, BUDI'})"
0.00039824771007566706,"frozenset({'AKU MEMAHAMI YANG AKU IMANI: MEMAHAMI ALLAH TRITUNGGAL, ROH KUDUS, DAN KARUNIA-KARUNIA ROH SECARA BERLANGGUNG JAWAB/ EBENHAIZER I. NUBAN TIMO'})"
0.0011947431302270011,"frozenset({'AKU MEMBACA, AKU TERSENYUM/ AM WASKITO'})"
0.0011947431302270011,frozenset({'AKUNTANSI JASA DAN DAGANG PRAKTIS DENGAN CONTOH SOAL/ HERY'})
0.00039824771007566706,"frozenset({'AKUNTANSI LANJUTAN EDISI KEDELAPAN JILID 1/ FLOYD A. BEAMS...[ET.AL]...; PENERJEMAH, CHARLIESARIPUTRA'})"
0.0015929908403026682,"frozenset({'AKUNTANSI MANAJEMEN/ ANTHONY A. ATKINSON...[ET.AL]...; PENERJEMAH, MIRANTI KARTIKA DEWI'})"
0.00039824771007566706,frozenset({'AKUNTANSI PENGANTAR 1/ SURADI'})
0.0007964954201513341,frozenset({'ALDI SI DOKTER CILIK: PANDUAN P3K YANG PERLU KAMU TAHU/FITA CHAKRA'})
0.0011947431302270011,frozenset({'AMANDEMEN UNDANG-UNDANG DASAR 1945/ ANANG SAEPULOH'})
0.0015929908403026682,"frozenset({'ANALISIS KORELASI, REGRESI DAN MULTIVARIATE DENGAN SPSS/DUWI PRIYATNO'})"
0.00039824771007566706,"frozenset({'ANGSA-ANGSA LIAR: TIGA PUTRI CHINA/ JUNG CHANG; PENERJEMAH, HONGGO WIBISANA'})"
0.00039824771007566706,"frozenset({'APLIKASI GRATIS UNTUK WINDOWS: GRATIS OK, BAJAK NO WAY!/ PAULUS YESAYA JATI'})"
0.0035842293906810036,frozenset({'ATOMIC HABITS: Perubahan Kecil Yang Memberikan Hasil Luar Biasa/James Clear'})
0.00039824771007566706,frozenset({'AYO MENGGAMBAR HEWAN/ YOGA WIDYANARKO'})
0.00039824771007566706,frozenset({'Abi Aku Bisa: Kebun Binatang (Mengenal Hewan)/ Gegasgagas Lab'})
0.00039824771007566706,frozenset({'Abi Aku Bisa: Taman Angka (Kemampuan Berhitung)/ Aku Bisa'})
0.00039824771007566706,frozenset({'Ada Rasa Surga Di Dalam Dada/ Zen Muhammad Al Hadi'})
0.00039824771007566706,frozenset({'Ada Surga Di Rumahmu: Novel Terinspirasi Kisah Ustadz Ahmad Al-Habsy/ Oka Aurora'})
0.00039824771007566706,"frozenset({'Administrasi Negara Baru/ H. George frederickson; Penerjemah, Al-Ghozei Usman'})"
0.0007964954201513341,frozenset({'Administrasi Pembangunan: Konsep Dimensi Dan Strateginya/ Sondang P. Siagian'})
0.0007964954201513341,frozenset({'Administrasi Pendidikan Kontemporer/ Syaiful Sagala'})
0.0023894862604540022,frozenset({'Administrasi dan Akuntabilitas Publik/ Rakhmat'})
0.0007964954201513341,frozenset({'Administrasi dan Supervisi Pendidikan/ M. Ngalim Purwanto'})
