Nota,Judul Buku
PNJM-230102-0001,"['Mewarnai, Menggunting & Membuat Topeng Monster/ CIF Creative', 'Komik Sufi Rumi: Kisah & Hikmah Pencerah Hati/ Andityas Praba']"
PNJM-230102-0002,['Budidaya & Pemasteran Kacer Siap Menjadi Jawara Kontes/ Iwan Putranto']
PNJM-230102-0003,"['LIMA SEKAWAN: SARJANA MISTERIUS/ ENID BLYTON; PENERJEMAH, AGUS SETIADI', 'Somewhere Called Home/ Dhamala Shobita']"
PNJM-230102-0004,"['Duet Series: Me Love Exo/ Iwok Abqary, Dhabith Aufa Abqary']"
PNJM-230102-0005,"['Pink Berry Club:, Deja Vu, Kenangan Mempersatukan Persahabatan/ Naiva Urfi Layyinah', 'Ketika Dhira Jatuh Cinta: Mencari Cinta Dari Hannovir Ke Cordoba/ Nadhira Arini']"
PNJM-230102-0006,"['Dasar-Dasar Bermain Catur: Penerapan Strategi Klasik Cina Dalam Permainan Catur/ Apendi', 'K Novel: Hwaiting, Hye Mi!/ Laksmi P. Manohara']"
PNJM-230102-0007,['Montmartre: hatiku Tertinggal/ Olenka Priyadarsani']
PNJM-230102-0008,['Labirin Sang Penyihir/ Maya Lestari GF']
PNJM-230103-0009,"['MISS PESIMIS/ ALIA ZALEA', 'BLIND DATE/ ALIAZALEA']"
PNJM-230103-0010,"['Dear, Imamku/Mellyana', 'Mr. Dangerous/ Defanny']"
PNJM-230103-0011,"['Annoying Boy/ Inesia Pratiwi', 'Pacar Halal: Halalin Baru Pacarin/ Mia Elvira']"
PNJM-230103-0012,"['TUJUH KEBIASAAN ANAK BAHAGIA/ SEAN COVEY; PENERJEMAH, LANNY MURTIHARDJONO']"
PNJM-230103-0013,['SERI PENDIDIKAN LINGKUNGAN DAN PENGETAHUAN UMUM: MANFAAT PEPAYA BUAT KITA/ DIVISI PENERBITAN DAN DOKUMENTASI PPLH SELOLIMAN']
PNJM-230103-0014,"['Buku Peraga Jam/ Ermina Krisrmarsanti', 'Imam Syafii: Sang Penegak Sunah/ Irfan Mahardhika']"
PNJM-230103-0015,"['Menanamkan Iman Kepada Anak/ Amni Ar-Ramadi', 'Sirah Nabi Muhammad Saw For Kids: Pemaafnya Rasulullah/ Nia Kurniawati']"
PNJM-230103-0016,"['Mengatasi Kegagalan Berbicara Dalam Bahasa Inggris/ Thursam Hakim', 'Cara Gampang Belajar Toefl Grammar 1 :Fun & Easy/ Peni R Pramono, Ule Sulistyo']"
PNJM-230103-0017,"['MALAM/ ELIE WIESEL; PENERJEMAH, MARIANNE KATOPPO']"
PNJM-230103-0018,"['Mora dan Megan/ Dewi Savtr', 'Hello Salma: Sekuel Dear Nathan/ Erisca Febriani']"
PNJM-230103-0019,"['If You Believe You Can Achieve: 40 Motivasi Tingkatkan Produktivitas, Kinerja, Pencapaian Target, dan Profit Secara Signifikan/Haryanto Kandani']"
PNJM-230103-0020,['Pengembangan Aplikasi Web Menggunakan PHP Data Objects (PDO)/ Muhammad Miftakul Amin']
PNJM-230103-0021,['Cepat dan Mudah Membuat Website Keren dengan WordPress 3.x/ Ali Zaenal']
PNJM-230104-0022,"['Rasulullah Sang Guru: Meneladani Metode Dan Karakteristik Nabi Dalam Mengajar/Abdul Fattah Abu Guddah: Penerjemah, Abu Husamudin']"
PNJM-230104-0023,"['Etika Sosial: Asas Moral Dalam Kehidupan Manusia/ Burhanuddin Salam', 'Head Strong: Memperkuat Hubungan Otak Dan Tubuh Untuk Mendapatkan fisik Dan Mental Yang Fit/ Tony Buzan']"
PNJM-230104-0024,"['Pajak Daerah & Retribusi Daerah/ Marihot P. Siahaan', 'Manajemen Sumber Daya Manusia Stratejik: Panduan Praktis untuk Bertindak/ Michael Amstrong; Penerjemah, Bern Hidayat']"
PNJM-230104-0025,"['Gender dan Inferioritas Perempuan: Praktik Kritik Sastra Feminis/ Sugihastuti, Itsna Hadi Saptiawan']"
PNJM-230104-0026,"['Linguistik Umum/ Abdul Chaer', 'Metode Penelitian Bahasa/ Mansun']"
PNJM-230104-0027,"['Untaian Mutiara Nama Bayi Indah & Islami/ Fayumi Al-Maliki', 'KITAB DOA TERLENGKAP SEHARI-HARI SEPANJANG MASA/ TIM REDAKSI']"
PNJM-230104-0028,"['Love Peace And Respect : 30 Teladan Nabi Dalam Pergaulan/ Lalan Takhrudin', 'Qisasul Auliya [Kisah Para Kekasih Allah]: Rampai Teladan-Kehidupan Yang Menggetarkan Hati/ Muhammad Khalid Tsabit, Penerjemah: C. Romli Bihar']"
PNJM-230104-0029,['Fantasteen: Last Puzzle Keping membawa Petaka/ Lyha Rachmadini']
PNJM-230104-0030,['Batu Bersurat Di Gunung Bintan Dan Inskripsi Beraksara Arab Lainnya Di Kepulauan Riau/ Nurman Kholis']
PNJM-230105-0031,"['Evaluasi Program Dan Instrumen Evaluasi Untuk Program Pendidikan Dan Penelitian/ Farida Yusuf Tayibnapis', 'Dasar-Dasar Evaluasi Pendidikan Edisi Revisi/ Suharsimi Arikunto']"
PNJM-230105-0032,['SARAT MAKNA JILID 3: SERI KISAH JENAKA/ DHURORUDIN MASHAD']
PNJM-230105-0033,"['Perang Salib Sudut Pandang Islam/ Carole Hillenbrand; Penerjemah, Heryadi', 'Ensiklopedia Yahudi Bergambar/ Thariq As-Suwaidan; Penerjemah, Arif Munandar']"
PNJM-230105-0034,['Sejarah Para Filsuf Dunia: 90 Pemikir Tehebat Paling Berpengaruh di Dunia/ Ahmad Asnawi']
